Course_Code,Course_Name,Content_Type,Content_ID,Title,Duration_Min,✓_Exit_Ticket,✓_Quiz,✓_Submission,Exit_Ticket_Desc,Exit_Ticket_Link,Quiz_Desc,Quiz_Link,Submission_Desc,Submission_Link,File_Name,Source_URL,Keywords,Total_Links
AI-1,Data Analysis and Data Science,Lesson,1,Introduction to Python Programming,90,✓,,✓,Exit Ticket 2: Introduction to Python,https://forms.gle/6FBFHVxLyBhocivSA,,,Submit Concept 2 Activity,https://forms.gle/31XBo3vuqX6QE9or9,Concept 01- Introduction to Python.mdx,/paid-courses/ai-1/lesson/1,"introduction, python, programming",4
AI-1,Data Analysis and Data Science,Lesson,2,Introduction to Jupyter Notebook and Google Colab,90,✓,,✓,Exit Ticket 3: Variables and Operators,https://forms.gle/c9GvhRCRGiQaEivn8,,,Submit Activity - Lesson 2,https://forms.gle/31XBo3vuqX6QE9or9,Concept 02- Jupyter Notebook.mdx,/paid-courses/ai-1/lesson/2,"introduction, jupyter, notebook, google, colab",4
AI-1,Data Analysis and Data Science,Lesson,3,Variables and Operators in Python,90,✓,,✓,Exit Ticket 5: List,https://forms.gle/2Ta1hLGXNRupmFcK9,,,Submit Activity - Lesson 3,https://forms.gle/31XBo3vuqX6QE9or9,Concept 03- Variables & Operators.mdx,/paid-courses/ai-1/lesson/3,"variables, operators, python",3
AI-1,Data Analysis and Data Science,Lesson,4,Python Lists,90,✓,,✓,Exit Ticket 6: Loop,https://forms.gle/LTtqGhc7gDJua8P1A,,,Submit Activity - Lesson 4,https://forms.gle/31XBo3vuqX6QE9or9,Concept 04- List.mdx,/paid-courses/ai-1/lesson/4,"python, lists",3
AI-1,Data Analysis and Data Science,Lesson,5,Python Conditional Statements,90,,,✓,,,,,Submit Activity - Lesson 5,https://forms.gle/ynKFsTNGwHV4dp2s9,Concept 05- Conditional Statement.mdx,/paid-courses/ai-1/lesson/5,"python, conditional, statements",3
AI-1,Data Analysis and Data Science,Lesson,6,Python Loops,90,✓,,✓,Exit Ticket 7: Dictionary,https://forms.gle/ZpmRAZpdXBg3sjz36,,,Submit Activity - Lesson 6,https://forms.gle/31XBo3vuqX6QE9or9,Concept 06- Loop.mdx,/paid-courses/ai-1/lesson/6,"python, loops",3
AI-1,Data Analysis and Data Science,Lesson,7,Dictionaries,90,✓,,✓,Exit Ticket 9: Function,https://forms.gle/M1XEGB7MyKsH8LFNA,,,Submit Activity - Lesson 7,https://forms.gle/31XBo3vuqX6QE9or9,Concept 07- Dictionary.mdx,/paid-courses/ai-1/lesson/7,dictionaries,3
AI-1,Data Analysis and Data Science,Lesson,8,Function in Python,90,,,✓,,,,,Submit Activity - Lesson 8,https://forms.gle/ynKFsTNGwHV4dp2s9,Concept 08- Function.mdx,/paid-courses/ai-1/lesson/8,"function, python",3
AI-1,Data Analysis and Data Science,Lesson,9,Package in Python,90,✓,,✓,Exit Ticket 11: NumPy,https://forms.gle/V2R5ni3NqQyk5w5b7,,,Submit Activity - Lesson 9,https://forms.gle/31XBo3vuqX6QE9or9,Concept 09- Package.mdx,/paid-courses/ai-1/lesson/9,"package, python",3
AI-1,Data Analysis and Data Science,Lesson,10,NumPy: Introduction and Usage Guide,90,✓,,✓,Exit Ticket 13: PrettyTable,https://forms.gle/6BJfDBxjDw1Vb3dK6,,,Submit Activity - Lesson 10,https://forms.gle/31XBo3vuqX6QE9or9,Concept 10- Numpy.mdx,/paid-courses/ai-1/lesson/10,"numpy:, introduction, usage, guide",3
AI-1,Data Analysis and Data Science,Lesson,11,Descriptive Statistics,90,,,✓,,,,,Submit Activity - Lesson 11,https://forms.gle/ynKFsTNGwHV4dp2s9,Concept 11- Descriptive Statistics.mdx,/paid-courses/ai-1/lesson/11,"descriptive, statistics",3
AI-1,Data Analysis and Data Science,Lesson,12,PrettyTable,90,,✓,,,,Quiz-1,https://forms.gle/c7FaQpYq1E8TKfVX8,,,Concept 12- PrettyTable.mdx,/paid-courses/ai-1/lesson/12,prettytable,2
AI-1,Data Analysis and Data Science,Lesson,13,Data Visualization,90,✓,,✓,Exit Ticket 15: Introduction to Data Analysis,https://forms.gle/DJhsktx13F8a5pyNA,,,Submit Concept 15 Activity,https://forms.gle/31XBo3vuqX6QE9or9,Concept 13- Data Visualization using Matplotlib.mdx,/paid-courses/ai-1/lesson/13,"data, visualization",3
AI-1,Data Analysis and Data Science,Lesson,14,What is Data Analysis,90,✓,,✓,Exit Ticket 17: CSV Files,https://forms.gle/yP6HUntkgGhHBtrFA,,,Submit Activity - Lesson 14,https://forms.gle/31XBo3vuqX6QE9or9,Concept 14- Introduction to Data Analysis.mdx,/paid-courses/ai-1/lesson/14,"what, data, analysis",3
AI-1,Data Analysis and Data Science,Lesson,15,What is Pandas 🐼,90,✓,,✓,Exit Ticket 18: Data Manipulation,https://forms.gle/aVvyRbBZAmhrkqiK6,,,Submit Activity - Lesson 15,https://forms.gle/uXjuqZsv8CmoPwyS7,Concept 15- Pandas.mdx,/paid-courses/ai-1/lesson/15,"what, pandas",3
AI-1,Data Analysis and Data Science,Lesson,16,CSV Files,90,✓,,✓,Exit Ticket 19: Data Grouping and Joining,https://forms.gle/NrsDcaJNbrZmCsQy8,,,Submit Activity - Lesson 16,https://forms.gle/31XBo3vuqX6QE9or9,Concept 16- Read and Export CSV File with Pandas.mdx,/paid-courses/ai-1/lesson/16,files,3
AI-1,Data Analysis and Data Science,Lesson,17,What is Data Cleaning,90,✓,,✓,Exit Ticket 20: Data Interpretation,https://forms.gle/R2tp6tgaLgfPEoC3A,,,Submit Activity - Lesson 17,https://forms.gle/31XBo3vuqX6QE9or9,Concept 17- Data Cleaning with Pandas.mdx,/paid-courses/ai-1/lesson/17,"what, data, cleaning",3
AI-1,Data Analysis and Data Science,Lesson,18,Data Manipulation with Pandas,90,,,,,,,,,,Concept 18- Data Manipulation with Pandas.mdx,/paid-courses/ai-1/lesson/18,"data, manipulation, with, pandas",1
AI-1,Data Analysis and Data Science,Lesson,19,Data Grouping and Joining,90,,,✓,,,,,Submit Activity - Lesson 19,https://forms.gle/ynKFsTNGwHV4dp2s9,Concept 19- Data Grouping and Data Joining with Pandas.mdx,/paid-courses/ai-1/lesson/19,"data, grouping, joining",3
AI-1,Data Analysis and Data Science,Lesson,20,Data Interpretation and Report Making,90,,✓,,,,Quiz-2,https://forms.gle/fqbSuMqcb1ovZa597,,,Concept 20- Data Interpretation and Report Making.mdx,/paid-courses/ai-1/lesson/20,"data, interpretation, report, making",2
AI-1,Data Analysis and Data Science,Activity,1,Exercise: Introduction to Python,60,✓,,✓,Exit Ticket 2: Introduction to Python,https://forms.gle/6FBFHVxLyBhocivSA,,,Submit Concept 2 Activity,https://forms.gle/31XBo3vuqX6QE9or9,Concept 01- Introduction to Python.mdx,/paid-courses/ai-1/activity/1,"exercise:, introduction, python",4
AI-1,Data Analysis and Data Science,Activity,2,Python and Jupyter Notebook Exercises,60,✓,,✓,Exit Ticket 3: Variables and Operators,https://forms.gle/c9GvhRCRGiQaEivn8,,,Submit Activity - Lesson 2,https://forms.gle/31XBo3vuqX6QE9or9,Concept 02- Jupyter Notebook.mdx,/paid-courses/ai-1/activity/2,"python, jupyter, notebook, exercises",4
